Experiment	Replicate	Modality
ENCSR820VEF	1	10x
ENCSR138NWM	1	10x
ENCSR634QXH	1	10x
ENCSR348VHG	1	10x
ENCSR052SGP	1	10x
ENCSR539WQZ	1	10x
ENCSR773ALL	1	10x
ENCSR858ICE	1	10x
ENCSR349XKD	1	ren
ENCSR089CGX	1	ren
ENCSR652WJE	1	ren
ENCSR434SXE	1	ren
ENCSR058XJK	1	10x
ENCSR161GPE	1	10x
ENCSR997YNO	1	ren
ENCSR453TVZ	1	ren
ENCSR733SZL	1	ren
ENCSR726QTF	1	ren
ENCSR052DKH	1	10x
ENCSR180GUX	1	10x
ENCSR188TJX	1	10x
ENCSR496XXB	1	multiome
ENCSR075FKI	1	10x
ENCSR037XNN	1	10x
ENCSR916EDP	1	multiome
ENCSR680NPV	1	10x
ENCSR886PUY	1	10x
ENCSR146VJA	1	10x
ENCSR196EOO	1	10x
ENCSR388NCA	1	10x
ENCSR470TKG	1	10x
ENCSR704RYV	1	10x
ENCSR164GSH	1	ren
ENCSR411MLR	1	10x
ENCSR737MVK	1	10x
ENCSR101JHK	1	multiome
ENCSR922FEK	1	multiome
ENCSR105VKN	1	multiome
ENCSR913OAS	1	10x
ENCSR438ETW	1	ren
ENCSR696YOC	1	ren
ENCSR808WCV	1	ren
ENCSR234CRD	1	ren
ENCSR639HAJ	1	10x
ENCSR453BVR	1	ren
ENCSR757EGB	1	ren
ENCSR811SRE	1	10x
ENCSR194KHA	1	multiome
ENCSR499VTJ	1	multiome
ENCSR244GZL	1	ren
ENCSR023FME	1	ren
ENCSR817VFO	1	ren
ENCSR909OXO	1	ren
ENCSR845QFX	1	ren
ENCSR371ZNU	1	10x
ENCSR266ZPZ	1	ren
ENCSR916RYB	1	10x
ENCSR799NRE	1	10x
ENCSR963HLE	1	10x
ENCSR579TPC	1	10x
ENCSR628NXO	1	10x
ENCSR375XCZ	1	10x
ENCSR904WIW	1	10x
ENCSR719QGN	1	10x
ENCSR274HQD	1	ren
ENCSR577BWJ	1	ren
ENCSR605FGF	1	10x
ENCSR644SCP	1	ren
ENCSR492GGN	1	ren
ENCSR275TWX	1	10x
ENCSR895LPX	1	10x
ENCSR427SIL	1	10x
ENCSR513HZN	1	ren
ENCSR042RUW	1	10x
ENCSR402PKA	1	10x
ENCSR690TAY	1	10x
ENCSR517QNQ	1	10x
ENCSR397ODX	1	ren
ENCSR967HFR	1	10x
ENCSR822GXQ	1	ren
ENCSR814OLA	1	10x
ENCSR182PJN	1	ren
ENCSR455CVZ	1	ren
ENCSR397LYX	1	ren
ENCSR481YWC	1	10x
ENCSR215BTH	1	ren
ENCSR384AYS	1	10x
ENCSR302CMX	1	ren
ENCSR718WGE	1	ren
ENCSR796RXX	1	ren
ENCSR086LCZ	1	10x
ENCSR454YDZ	1	10x
ENCSR261TQO	1	ren
ENCSR848EID	1	ren
ENCSR534KYJ	1	10x
ENCSR556UHL	1	10x
ENCSR908HQW	1	10x
ENCSR643EOZ	1	10x
ENCSR704SKG	1	ren
ENCSR979ZOG	1	ren
ENCSR302LEY	1	ren
ENCSR559MJT	1	ren
ENCSR181TLD	1	10x
ENCSR978IKJ	1	ren
ENCSR615TSN	1	10x
ENCSR803QTN	1	10x
ENCSR112UBQ	1	10x
ENCSR290IUT	1	10x
ENCSR725OFZ	1	10x
ENCSR541CKC	1	10x
ENCSR176EJL	1	10x
ENCSR168TFI	1	ren
ENCSR435CGY	1	10x
ENCSR568XID	1	10x
ENCSR830CXR	1	10x
ENCSR548IRG	1	multiome
ENCSR582VOF	1	ren
ENCSR918VTH	1	multiome
ENCSR367GKP	1	ren
ENCSR217VXJ	1	10x
ENCSR268LMV	1	10x
ENCSR058GOM	1	10x
ENCSR717FVA	1	ren
ENCSR660NEE	1	ren
ENCSR139ATR	1	multiome
ENCSR095KCD	1	10x
ENCSR322LEY	1	10x
ENCSR381NFT	1	multiome
ENCSR391BWM	1	multiome
ENCSR754TFT	1	10x
ENCSR332XEW	1	multiome
ENCSR506YMX	1	ren
ENCSR986YGY	1	10x
ENCSR548BXU	1	10x
ENCSR772BEX	1	10x
ENCSR308ZGJ	1	10x
ENCSR237BTV	1	10x
ENCSR635OKA	1	10x
ENCSR364FHN	1	10x
ENCSR927MVL	1	10x
ENCSR615PXV	1	10x
ENCSR277LDY	1	10x
ENCSR446QJT	1	10x
ENCSR028JGT	1	10x
ENCSR862WHQ	1	10x
ENCSR624OTN	1	10x
ENCSR363EAJ	1	10x
ENCSR198TTU	1	10x
ENCSR007QIO	1	ren
ENCSR520ZUD	1	10x
ENCSR114OKU	1	10x
ENCSR868ZEI	1	ren
ENCSR474TGL	1	ren
ENCSR549JEQ	1	ren
ENCSR491LSZ	1	multiome
ENCSR205TUH	1	ren
ENCSR628POB	1	multiome
ENCSR131DKN	1	multiome
ENCSR420EWQ	1	multiome
ENCSR693GAD	1	multiome
ENCSR137FPX	1	10x
ENCSR205VFW	1	10x
ENCSR785BSP	1	multiome
ENCSR402SNA	1	ren
ENCSR593FCC	1	10x
ENCSR606VJQ	1	10x
ENCSR833BMK	1	multiome
ENCSR083HFN	1	multiome
ENCSR604PDO	1	10x
ENCSR080TZR	1	10x
ENCSR592WYM	1	10x
ENCSR341TTX	1	10x
ENCSR000XQD	1	multiome
ENCSR231GXD	1	10x
ENCSR305VES	1	multiome
ENCSR600UDB	1	10x
ENCSR908RCU	1	10x
ENCSR533CSY	1	multiome
ENCSR507ZEN	1	10x
ENCSR773HYY	1	10x
ENCSR278XIZ	1	10x
ENCSR690KGJ	1	multiome
ENCSR575LID	1	10x
ENCSR778RZT	1	10x
ENCSR630YEA	1	multiome
ENCSR816NWE	1	multiome
ENCSR029KFQ	1	multiome
ENCSR472HFJ	1	10x
ENCSR756HYX	1	10x
ENCSR242VMQ	1	10x
ENCSR815FGT	1	multiome
ENCSR588PEE	1	multiome
ENCSR425CZQ	1	multiome
ENCSR681OLJ	1	multiome
ENCSR102QKY	1	10x
ENCSR493QJO	1	10x
ENCSR893WOE	1	ren
ENCSR871CTA	1	ren
ENCSR538FPK	1	ren
ENCSR177OXQ	1	10x
ENCSR974TUB	1	10x
ENCSR364GEA	1	ren
ENCSR569ZMI	1	10x
ENCSR668XPI	1	multiome
ENCSR314WGW	1	10x
ENCSR740EIL	1	10x
ENCSR868CRK	1	multiome
ENCSR169BCG	1	multiome
ENCSR776EOI	1	ren
ENCSR229VVY	1	multiome
ENCSR597YWW	1	multiome
ENCSR181XXQ	1	ren
ENCSR516MHK	1	10x
ENCSR830FPR	1	multiome
ENCSR028RFK	1	ren
ENCSR869LEV	1	multiome
ENCSR710NDM	1	10x
ENCSR410OWB	1	10x
ENCSR288RQI	1	10x
ENCSR398OHC	1	10x
ENCSR952HMV	1	ren
ENCSR441ZWO	1	ren
ENCSR819EGE	1	ren
ENCSR940QRM	1	ren
ENCSR989MQQ	1	10x
ENCSR442RZO	1	10x
ENCSR777GVP	1	multiome
ENCSR207ABL	1	multiome
ENCSR332SXG	1	10x
ENCSR352RMS	1	multiome
ENCSR413MCQ	1	10x
ENCSR009WQK	1	10x
ENCSR811QVW	1	10x
ENCSR139TIQ	1	ren
ENCSR318ERF	1	multiome
ENCSR299NEP	1	multiome
ENCSR154JHG	1	10x
ENCSR207HVA	1	10x
ENCSR932LAJ	1	10x
ENCSR759OSE	1	10x
ENCSR443NJZ	1	10x
ENCSR287GYJ	1	10x
ENCSR675DJV	1	10x
ENCSR338KBR	1	10x
ENCSR690NZI	1	multiome
ENCSR110IID	1	10x
ENCSR438DII	1	10x
ENCSR251LFB	1	10x
ENCSR828HVB	1	multiome
ENCSR824OCY	1	10x
ENCSR197GLE	1	multiome
ENCSR737VYM	1	10x
ENCSR810IIV	1	10x
#### Datasets not run ####
#ENCSR837KAC	1
#ENCSR478JTT	1	
#ENCSR880JAU	1	
#ENCSR997YJI	1	ren
#ENCSR997YJI	2	ren
#ENCSR205OEF	1	ren
#ENCSR205OEF	2	ren
#ENCSR836VNN	1	ren
#ENCSR836VNN	2	ren
#ENCSR374QZJ	1	ren
#ENCSR374QZJ	2	ren
#ENCSR580SVE	1	ren
#ENCSR580SVE	2	ren
#ENCSR937PSF	1	ren
#ENCSR937PSF	2	ren
#ENCSR750EXW	1	ren
#ENCSR750EXW	2	ren